"title","url","stars","name","reviewUrl","text"
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Betanto Rachmat","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xndFlsRkhOaTF1U0RKMUxVaExWMGRwYmpWT1NHYxAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOlgtYlFHNi1uSDJ1LUhLV0dpbjVOSGc%7C%7C?hl=id","my father favourite satay and tengkleng  house in Jogjakarta. the important thing it has big parking area"
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","4","ismail arafat (Aar)","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21aMFJqbE5UUzFTUW5OMmNGaGlWSFJaU1RNM1JIYxAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOmZ0RjlNTS1SQnN2cFhiVHRZSTM3RHc%7C%7C?hl=id","Lumayanlah, secara rasa biasa aja. Kelebihan nya tongseng dan sate nya sudah siap. Jadi ga ada drama nunggu lama atau kelaparan. Semua serba siap saji."
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","2","Deslani Wulan sari","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21wcGJ5MU5PVk5TTW1oaE1GRlFORXRQT1d4WVpYYxAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOmppby1NOVNSMmhhMFFQNEtPOWxYZXc%7C%7C?hl=id","Beli sate kambing ,,sate nya masih alot 😌😌"
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Poppy Heviwi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25SdmR6Sk1XVlJZYW10WmFVMTBNVVZsZVdaVE5rRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOnRvdzJMWVRYamtZaU10MUVleWZTNkE%7C%7C?hl=id",
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Akira Buwono","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoLU1LWmpRRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CIHM0ogKEICAgICh-MKZjQE%7C%7C?hl=id",
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","brian yogaswara","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21WbVNHeDBWVkpSWkdVMmN6VklkblowWlVvdE5WRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOmVmSGx0VVJRZGU2czVIdnZ0ZUotNVE%7C%7C?hl=id","Kambingnya lezat. Pqling suka sate klatak nya."
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","4","Muhammad Taufick","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25seVIzbzJWRkJtYW1wb1JqRnBTVzFRT1UxT1JVRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOnlyR3o2VFBmampoRjFpSW1QOU1ORUE%7C%7C?hl=id","Untuk makanan saya pesan sate kambing dan beberapa potong itu ada yg agak alot. So far secara potongan cukup besar dan rasanya enak. Suasananya agak panas kayanya boleh di tambah kipasnya"
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Fitri Wahyuningsih wasyanto","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25wNmVrZGxabEpGTmtGTFMwWkRiMHhmUW5oa01tYxAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOnp6ekdlZlJFNkFLS0ZDb0xfQnhkMmc%7C%7C?hl=id",
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Karim Zulkarnain","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNNdzlYZXNRRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CIHM0ogKEICAgICMw9XesQE%7C%7C?hl=id",
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Aldo Cs","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25wdFgwbE1RblpGTFhGSmJXZDVPRE5TV0VWeFpGRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOnptX0lMQnZFLXFJbWd5ODNSWEVxZFE%7C%7C?hl=id",
